               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13352,              0.1323,                   0,           0.0041667,            0.013441,           0.0021273,          0.00042238,             0.13371,             0.15339,                   0,                 0.1,                   0,                   0
                   1,             0.13099,             0.13741,                   0,           0.0044444,            0.010753,           0.0023461,          0.00057473,             0.13326,             0.16224,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13248,            0.097199,                   0,           0.0044444,            0.010753,           0.0023041,          0.00063114,             0.13255,             0.16491,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13865,             0.15415,                   0,           0.0033333,           0.0080645,           0.0017322,          0.00075192,             0.13176,             0.16786,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.12595,             0.11772,                   0,           0.0033333,           0.0080645,           0.0017338,          0.00064393,             0.13108,             0.16967,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.12873,             0.09441,                   0,           0.0033333,           0.0080645,           0.0017348,          0.00052625,             0.13086,             0.17033,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.12963,             0.11161,                   0,           0.0033333,           0.0080645,           0.0017329,          0.00034915,             0.13054,             0.17081,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12839,             0.12897,                   0,           0.0022222,           0.0053763,           0.0011235,          0.00033996,             0.13195,             0.16429,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12507,            0.098052,                   0,           0.0033333,           0.0080645,           0.0016945,          0.00033865,             0.13287,             0.16035,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.12856,             0.10977,                   0,           0.0022222,           0.0053763,           0.0011337,          0.00028216,             0.13243,             0.16447,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12711,             0.10642,                   0,           0.0022222,           0.0053763,           0.0011391,          0.00045503,             0.13172,             0.16753,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.13454,             0.11749,                   0,           0.0033333,           0.0080645,            0.001711,          0.00040152,             0.13179,             0.16344,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.13166,              0.1438,                   0,           0.0055556,            0.013441,           0.0028532,          0.00063184,             0.13401,             0.14046,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.13252,             0.14581,                   0,           0.0011111,           0.0026882,          0.00057851,          0.00017355,             0.13502,             0.13081,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12865,            0.087475,                   0,           0.0016667,           0.0053763,          0.00085409,          0.00017082,             0.13574,             0.12314,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.12517,             0.11009,                   0,          0.00083333,           0.0026882,          0.00042702,          4.2702e-05,             0.13628,             0.11574,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.13094,             0.10659,                   0,          0.00083333,           0.0026882,          0.00042023,          4.2023e-05,             0.13646,             0.11372,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.13257,             0.13111,                   0,          0.00083333,           0.0026882,          0.00042023,          4.2023e-05,             0.13646,             0.11372,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.12528,             0.11745,                   0,          0.00083333,           0.0026882,          0.00041819,          4.1819e-05,             0.13603,             0.11512,                   0,            0.083736,           0.0017358,           0.0017358
                  19,              0.1297,              0.1231,                   0,          0.00083333,           0.0026882,          0.00041819,          4.1819e-05,             0.13603,             0.11512,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.12846,             0.13465,                   0,          0.00083333,           0.0026882,          0.00041876,          8.3698e-05,             0.13599,             0.11467,                   0,            0.081921,           0.0019208,           0.0019208
                  21,             0.13206,             0.12456,                   0,          0.00083333,           0.0026882,          0.00041876,          8.3698e-05,             0.13599,             0.11467,                   0,            0.081013,           0.0020127,           0.0020127
                  22,             0.13155,             0.13244,                   0,          0.00083333,           0.0026882,          0.00041916,          0.00012575,             0.13587,             0.11351,                   0,            0.080104,           0.0021042,           0.0021042
                  23,             0.08643,             0.13087,                   0,          0.00083333,           0.0026882,          0.00041916,          0.00012575,             0.13587,             0.11351,                   0,            0.079195,           0.0021953,           0.0021953
