               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13589,             0.16771,                   0,               0.005,            0.016129,            0.002554,          0.00042293,             0.13364,             0.15353,                   0,                 0.1,                   0,                   0
                   1,             0.12915,             0.14473,                   0,           0.0044444,            0.010753,           0.0023258,          0.00057168,             0.13317,             0.16237,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13097,             0.10058,                   0,           0.0044444,            0.010753,           0.0023641,          0.00081711,             0.13187,             0.16663,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13029,             0.13364,                   0,           0.0055556,            0.013441,            0.002917,           0.0011147,             0.13091,             0.16929,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13288,             0.15547,                   0,           0.0066667,            0.016129,           0.0035275,           0.0010699,             0.13032,              0.1698,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13159,             0.12353,                   0,           0.0077778,            0.018817,           0.0043327,          0.00091699,             0.13062,             0.16477,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.13017,             0.13298,                   0,           0.0066667,            0.016129,           0.0038911,           0.0011195,             0.13047,             0.16085,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12894,             0.14204,                   0,           0.0066667,            0.021505,           0.0045984,           0.0014422,             0.13145,             0.14875,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.13216,             0.11681,                   0,              0.0075,            0.024194,           0.0051063,           0.0016902,             0.13169,             0.14317,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.12959,             0.12563,                   0,           0.0066667,            0.021505,           0.0044205,           0.0014484,              0.1321,             0.13915,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12868,             0.13465,                   0,              0.0075,            0.024194,           0.0047245,           0.0016704,             0.13219,             0.13593,                   0,             0.09098,           0.0009802,           0.0009802
                  11,              0.1338,             0.16326,                   0,           0.0083333,            0.026882,           0.0047056,           0.0016331,             0.13233,             0.13436,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.12941,             0.13936,                   0,           0.0091667,             0.02957,           0.0051935,           0.0015834,             0.13255,             0.13247,                   0,            0.089171,           0.0011715,           0.0011715
