               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13468,             0.16111,                   0,               0.005,            0.016129,            0.002555,          0.00046514,             0.13362,             0.15359,                   0,                 0.1,                   0,                   0
                   1,             0.12967,             0.12886,                   0,           0.0044444,            0.010753,           0.0023107,          0.00051288,             0.13333,              0.1619,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.12962,             0.10393,                   0,           0.0044444,            0.010753,           0.0023448,           0.0008118,             0.13225,             0.16495,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13183,             0.14404,                   0,           0.0055556,            0.013441,           0.0029377,           0.0010707,             0.13106,             0.16702,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13161,             0.14776,                   0,           0.0077778,            0.018817,           0.0042831,          0.00096787,             0.13038,             0.16874,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13181,             0.13048,                   0,           0.0077778,            0.018817,           0.0046968,           0.0011637,             0.13137,             0.15687,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.13235,             0.14401,                   0,           0.0066667,            0.016129,           0.0037987,            0.001409,             0.13082,             0.15581,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.13093,             0.14005,                   0,           0.0066667,            0.021505,           0.0051405,           0.0015613,             0.13066,              0.1495,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.13074,             0.14929,                   0,              0.0075,            0.024194,           0.0056931,           0.0016763,             0.12966,             0.15104,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.13215,             0.11122,                   0,            0.011667,            0.037634,           0.0076898,           0.0019582,             0.12889,             0.15306,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.12835,             0.12377,                   0,            0.010833,            0.034946,            0.012138,           0.0019949,             0.12829,             0.15508,                   0,             0.09098,           0.0009802,           0.0009802
                  11,              0.1323,             0.13651,                   0,            0.014167,            0.045699,            0.014431,           0.0033665,             0.12734,             0.16071,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.13275,             0.16378,                   0,            0.015833,            0.051075,            0.012777,           0.0029771,             0.12688,             0.16363,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.12732,             0.12385,                   0,               0.014,            0.056452,            0.008488,            0.002377,             0.12634,             0.16734,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12713,             0.12929,                   0,            0.016667,            0.067204,           0.0099766,           0.0024235,             0.12596,             0.16942,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.12825,             0.12087,                   0,            0.015333,            0.061828,           0.0088188,           0.0020389,             0.12562,             0.17153,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12987,             0.17156,                   0,            0.016667,            0.067204,           0.0098555,           0.0020218,             0.12551,             0.17142,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.12688,             0.13395,                   0,                0.02,            0.064516,            0.012371,              0.0026,             0.12551,             0.17142,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.12558,             0.12711,                   0,               0.014,            0.056452,           0.0086458,           0.0018631,             0.12571,             0.16877,                   0,            0.083736,           0.0017358,           0.0017358
                  19,             0.12896,             0.15221,                   0,               0.014,            0.056452,           0.0086458,           0.0018631,             0.12571,             0.16877,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.12864,             0.16065,                   0,            0.015333,            0.061828,           0.0099423,           0.0023339,             0.12591,             0.16501,                   0,            0.081921,           0.0019208,           0.0019208
                  21,              0.1303,             0.14634,                   0,            0.015333,            0.061828,           0.0099423,           0.0023339,             0.12591,             0.16501,                   0,            0.081013,           0.0020127,           0.0020127
                  22,               0.127,             0.15855,                   0,            0.016667,            0.053763,            0.012099,           0.0022168,             0.12631,             0.16011,                   0,            0.080104,           0.0021042,           0.0021042
                  23,             0.12548,             0.14861,                   0,            0.016667,            0.053763,            0.012099,           0.0022168,             0.12631,             0.16011,                   0,            0.079195,           0.0021953,           0.0021953
                  24,             0.12355,             0.12582,                   0,            0.012898,            0.040323,            0.010512,           0.0022167,             0.12675,             0.15528,                   0,            0.078286,            0.002286,            0.002286
                  25,              0.1255,             0.14531,                   0,            0.012898,            0.040323,            0.010512,           0.0022167,             0.12675,             0.15528,                   0,            0.077376,           0.0023762,           0.0023762
                  26,             0.12425,             0.14413,                   0,              0.0175,            0.056452,             0.01249,           0.0023336,             0.12685,             0.15334,                   0,            0.076466,           0.0024662,           0.0024662
                  27,             0.12621,              0.1659,                   0,              0.0175,            0.056452,             0.01249,           0.0023336,             0.12685,             0.15334,                   0,            0.075556,           0.0025557,           0.0025557
                  28,              0.1214,             0.14461,                   0,            0.018333,             0.05914,            0.012224,           0.0027421,             0.12762,             0.14682,                   0,            0.074645,           0.0026448,           0.0026448
                  29,             0.12548,             0.15196,                   0,            0.018333,             0.05914,            0.012224,           0.0027421,             0.12762,             0.14682,                   0,            0.073733,           0.0027335,           0.0027335
                  30,             0.12003,             0.12682,                   0,            0.017855,            0.056452,            0.012752,           0.0027674,             0.12747,             0.14615,                   0,            0.072822,           0.0028218,           0.0028218
                  31,             0.12773,              0.1803,                   0,            0.017855,            0.056452,            0.012752,           0.0027674,             0.12747,             0.14615,                   0,             0.07191,           0.0029097,           0.0029097
                  32,             0.12577,             0.13907,                   0,              0.0175,            0.056452,            0.010565,           0.0024275,             0.12629,             0.15206,                   0,            0.070997,           0.0029972,           0.0029972
                  33,               0.126,             0.16042,                   0,              0.0175,            0.056452,            0.010565,           0.0024275,             0.12629,             0.15206,                   0,            0.070084,           0.0030844,           0.0030844
                  34,             0.12784,             0.17169,                   0,            0.016667,            0.053763,           0.0096121,           0.0025893,             0.12482,             0.15967,                   0,            0.069171,           0.0031711,           0.0031711
                  35,             0.11852,             0.11443,                   0,            0.016667,            0.053763,           0.0096121,           0.0025893,             0.12482,             0.15967,                   0,            0.068257,           0.0032574,           0.0032574
                  36,              0.1188,             0.10808,                   0,            0.011667,            0.037634,           0.0061383,           0.0010803,             0.12557,             0.15938,                   0,            0.067343,           0.0033434,           0.0033434
                  37,             0.11923,             0.13235,                   0,            0.011667,            0.037634,           0.0061383,           0.0010803,             0.12557,             0.15938,                   0,            0.066429,           0.0034289,           0.0034289
                  38,             0.12335,             0.15656,                   0,            0.013333,            0.043011,           0.0069598,            0.001763,             0.12583,             0.15715,                   0,            0.065514,           0.0035141,           0.0035141
                  39,             0.11946,             0.11638,                   0,            0.013333,            0.043011,           0.0069598,            0.001763,             0.12583,             0.15715,                   0,            0.064599,           0.0035988,           0.0035988
                  40,             0.12242,               0.146,                   0,               0.015,            0.048387,           0.0080743,           0.0018397,             0.12619,             0.15544,                   0,            0.063683,           0.0036832,           0.0036832
                  41,             0.12467,             0.17039,                   0,               0.015,            0.048387,           0.0080743,           0.0018397,             0.12619,             0.15544,                   0,            0.062767,           0.0037672,           0.0037672
                  42,             0.12187,             0.14203,                   0,            0.010833,            0.034946,           0.0057825,           0.0014127,             0.12646,             0.15407,                   0,            0.061851,           0.0038507,           0.0038507
                  43,              0.1244,             0.15477,                   0,            0.010833,            0.034946,           0.0057825,           0.0014127,             0.12646,             0.15407,                   0,            0.060934,           0.0039339,           0.0039339
                  44,             0.11723,             0.14253,                   0,            0.014167,            0.045699,           0.0076486,           0.0014866,             0.12556,             0.15296,                   0,            0.060017,           0.0040167,           0.0040167
                  45,             0.12305,             0.15371,                   0,            0.014167,            0.045699,           0.0076486,           0.0014866,             0.12556,             0.15296,                   0,            0.059099,           0.0040991,           0.0040991
                  46,             0.12242,             0.16198,                   0,            0.018333,             0.05914,            0.010257,           0.0020727,             0.12515,             0.15172,                   0,            0.058181,            0.004181,            0.004181
                  47,             0.12295,             0.17149,                   0,            0.018333,             0.05914,            0.010257,           0.0020727,             0.12515,             0.15172,                   0,            0.057263,           0.0042626,           0.0042626
                  48,              0.1228,             0.17552,                   0,            0.029167,            0.094086,            0.016428,           0.0043718,             0.12403,             0.15646,                   0,            0.056344,           0.0043438,           0.0043438
                  49,               0.123,             0.16857,                   0,            0.029167,            0.094086,            0.016428,           0.0043718,             0.12403,             0.15646,                   0,            0.055425,           0.0044246,           0.0044246
                  50,             0.11872,              0.1478,                   0,            0.036667,             0.11828,            0.021207,           0.0064269,             0.12312,             0.15996,                   0,            0.054505,            0.004505,            0.004505
                  51,             0.12156,             0.15682,                   0,            0.036667,             0.11828,            0.021207,           0.0064269,             0.12312,             0.15996,                   0,            0.053585,            0.004585,            0.004585
                  52,             0.11537,             0.13732,                   0,            0.036667,             0.11828,            0.021207,           0.0064269,             0.12312,             0.15996,                   0,            0.052665,           0.0046646,           0.0046646
                  53,             0.11711,             0.14936,                   0,               0.045,             0.14516,            0.026135,           0.0064734,             0.12265,             0.15986,                   0,            0.051744,           0.0047438,           0.0047438
                  54,             0.12138,             0.14995,                   0,               0.045,             0.14516,            0.026135,           0.0064734,             0.12265,             0.15986,                   0,            0.050823,           0.0048226,           0.0048226
                  55,             0.11676,             0.13677,                   0,               0.045,             0.14516,            0.026135,           0.0064734,             0.12265,             0.15986,                   0,            0.049901,           0.0049011,           0.0049011
                  56,             0.12001,             0.16821,                   0,            0.050833,             0.16398,             0.03057,            0.008453,              0.1212,             0.16631,                   0,            0.048979,           0.0049791,           0.0049791
                  57,             0.11928,             0.14554,                   0,            0.050833,             0.16398,             0.03057,            0.008453,              0.1212,             0.16631,                   0,            0.048057,           0.0050567,           0.0050567
                  58,             0.12096,             0.14174,                   0,            0.050833,             0.16398,             0.03057,            0.008453,              0.1212,             0.16631,                   0,            0.047134,           0.0051339,           0.0051339
                  59,             0.12261,              0.1582,                   0,            0.063504,             0.13441,            0.036839,           0.0091691,             0.11994,             0.17339,                   0,            0.046211,           0.0052108,           0.0052108
                  60,             0.12342,              0.1777,                   0,            0.063504,             0.13441,            0.036839,           0.0091691,             0.11994,             0.17339,                   0,            0.045287,           0.0052872,           0.0052872
                  61,              0.1182,             0.15031,                   0,            0.063504,             0.13441,            0.036839,           0.0091691,             0.11994,             0.17339,                   0,            0.044363,           0.0053632,           0.0053632
                  62,             0.11719,             0.16264,                   0,            0.072751,             0.24731,             0.05203,            0.013624,              0.1165,             0.18398,                   0,            0.043439,           0.0054389,           0.0054389
                  63,             0.12201,             0.16004,                   0,            0.072751,             0.24731,             0.05203,            0.013624,              0.1165,             0.18398,                   0,            0.042514,           0.0055141,           0.0055141
                  64,             0.11661,             0.15606,                   0,            0.072751,             0.24731,             0.05203,            0.013624,              0.1165,             0.18398,                   0,            0.041589,            0.005589,            0.005589
                  65,             0.10625,             0.14518,                   0,            0.085901,             0.25806,            0.056991,            0.015543,             0.11426,             0.18863,                   0,            0.040663,           0.0056635,           0.0056635
                  66,             0.11702,             0.17145,                   0,            0.085901,             0.25806,            0.056991,            0.015543,             0.11426,             0.18863,                   0,            0.039738,           0.0057375,           0.0057375
