               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1356,             0.16808,                   0,           0.0041667,            0.013441,            0.002127,          0.00038023,             0.13366,             0.15354,                   0,                 0.1,                   0,                   0
                   1,             0.13061,             0.15517,                   0,           0.0044444,            0.010753,           0.0023258,          0.00057168,             0.13325,             0.16205,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13004,             0.10001,                   0,           0.0055556,            0.013441,           0.0029254,          0.00087574,             0.13173,             0.16643,                   0,            0.098199,          0.00019921,          0.00019921
                   3,              0.1295,             0.14734,                   0,           0.0044444,            0.010753,           0.0023805,           0.0009021,             0.13051,              0.1693,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13236,             0.15209,                   0,           0.0077778,            0.018817,           0.0043452,           0.0011658,             0.12988,             0.16852,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13247,             0.14721,                   0,           0.0077778,            0.018817,           0.0043886,           0.0014688,             0.12966,             0.16464,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.12858,             0.14708,                   0,           0.0083333,            0.026882,           0.0046915,           0.0019451,             0.12932,             0.16465,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.12849,             0.10817,                   0,           0.0083333,            0.026882,           0.0057281,           0.0019607,             0.12954,             0.16007,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.13312,             0.13199,                   0,           0.0083333,            0.026882,           0.0062445,           0.0022534,             0.12905,             0.16062,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.13103,             0.15406,                   0,           0.0091667,             0.02957,           0.0069859,           0.0019644,             0.12911,             0.15825,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.13037,             0.15353,                   0,                0.01,            0.032258,           0.0072745,           0.0018101,             0.12972,             0.15257,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.13078,             0.13594,                   0,                0.01,            0.032258,           0.0072113,           0.0016427,             0.12892,             0.15565,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.13315,             0.12942,                   0,            0.011667,            0.037634,            0.013443,           0.0027944,              0.1274,             0.16207,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.12864,             0.14099,                   0,            0.015833,            0.051075,            0.013934,           0.0036033,             0.12665,             0.16693,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.13256,             0.13489,                   0,            0.013333,            0.053763,           0.0076944,           0.0021617,             0.12619,             0.17209,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.12794,             0.12384,                   0,            0.010667,            0.043011,           0.0064163,           0.0014689,             0.12602,             0.17355,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12921,             0.13543,                   0,            0.016667,            0.053763,           0.0099941,           0.0022678,             0.12562,             0.17538,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.13267,             0.17861,                   0,            0.016667,            0.053763,           0.0099941,           0.0022678,             0.12562,             0.17538,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.12806,             0.14876,                   0,               0.015,            0.048387,           0.0091999,           0.0017489,             0.12581,             0.17299,                   0,            0.083736,           0.0017358,           0.0017358
