               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13481,             0.15631,                   0,               0.005,            0.016129,            0.002555,          0.00046514,             0.13371,             0.15322,                   0,                 0.1,                   0,                   0
                   1,             0.13071,              0.1407,                   0,           0.0044444,            0.010753,           0.0023283,          0.00057206,             0.13327,             0.16155,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13142,             0.09444,                   0,           0.0055556,            0.013441,           0.0029158,          0.00074777,             0.13261,             0.16393,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13143,             0.15357,                   0,           0.0055556,            0.013441,           0.0029536,          0.00087863,             0.13125,             0.16815,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13192,             0.13899,                   0,           0.0077778,            0.018817,           0.0042971,          0.00097549,             0.12945,             0.17258,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13259,             0.13349,                   0,           0.0066667,            0.016129,            0.003622,          0.00088793,             0.12861,             0.17485,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.13123,             0.13501,                   0,           0.0066667,            0.016129,           0.0036157,           0.0010594,             0.12812,             0.17553,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.13186,             0.13786,                   0,            0.010833,            0.034946,            0.005823,           0.0018282,             0.12724,             0.17832,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.13029,             0.14268,                   0,            0.015833,            0.051075,           0.0095907,           0.0023811,             0.12618,             0.18054,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.13142,             0.14261,                   0,            0.014167,            0.045699,            0.012986,           0.0040729,             0.12546,             0.18053,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.13087,             0.12563,                   0,              0.0125,            0.040323,            0.011692,           0.0040617,             0.12486,             0.18118,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.12918,             0.12004,                   0,              0.0125,            0.040323,           0.0090087,           0.0019232,             0.12443,             0.18342,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.12958,             0.14235,                   0,            0.014167,            0.045699,           0.0075058,           0.0019943,             0.12443,             0.18386,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.13415,             0.16634,                   0,                0.01,            0.040323,           0.0052976,          0.00090504,             0.12503,             0.18117,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12769,             0.14128,                   0,               0.008,            0.032258,           0.0042723,          0.00094041,             0.12607,             0.17481,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.12946,             0.13813,                   0,           0.0058333,            0.018817,           0.0030065,          0.00084916,             0.13207,             0.13067,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12808,             0.13574,                   0,                   0,                   0,                   0,                   0,             0.13636,             0.10384,                   0,            0.085549,           0.0015493,           0.0015493
                  17,             0.12724,             0.13049,                   0,                   0,                   0,                   0,                   0,             0.13636,             0.10384,                   0,            0.084643,           0.0016428,           0.0016428
                  18,              0.1313,              0.1778,                   0,           0.0011111,           0.0026882,          0.00058965,          5.8965e-05,             0.13732,            0.097443,                   0,            0.083736,           0.0017358,           0.0017358
                  19,             0.12677,             0.15433,                   0,           0.0011111,           0.0026882,          0.00058965,          5.8965e-05,             0.13732,            0.097443,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.12608,             0.13862,                   0,          0.00083333,           0.0026882,          0.00047314,          4.7314e-05,             0.13758,            0.094209,                   0,            0.081921,           0.0019208,           0.0019208
                  21,             0.12804,             0.14473,                   0,          0.00083333,           0.0026882,          0.00047314,          4.7314e-05,             0.13758,            0.094209,                   0,            0.081013,           0.0020127,           0.0020127
                  22,             0.12835,             0.14738,                   0,                   0,                   0,                   0,                   0,             0.13713,            0.094365,                   0,            0.080104,           0.0021042,           0.0021042
