               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13369,             0.17088,                   0,           0.0041667,            0.013441,           0.0021267,           0.0004223,             0.13386,             0.15303,                   0,                 0.1,                   0,                   0
                   1,             0.12991,             0.14087,                   0,           0.0044444,            0.010753,           0.0023585,          0.00057659,             0.13316,             0.16221,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,             0.13244,            0.095123,                   0,           0.0044444,            0.010753,           0.0023001,           0.0005719,             0.13265,             0.16393,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13036,             0.14764,                   0,           0.0044444,            0.010753,           0.0022995,          0.00069102,             0.13213,             0.16564,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13506,             0.13912,                   0,           0.0022222,           0.0053763,            0.001155,          0.00057748,             0.13201,             0.16598,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.12941,             0.14366,                   0,           0.0033333,           0.0080645,           0.0017202,          0.00046082,             0.13122,             0.16772,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.12495,             0.10529,                   0,           0.0033333,           0.0080645,           0.0016854,          0.00050857,              0.1312,             0.16671,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.13315,             0.13367,                   0,           0.0058333,            0.018817,           0.0030299,           0.0010334,             0.12889,              0.1739,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12978,             0.16371,                   0,              0.0075,            0.024194,           0.0041272,           0.0013815,             0.12831,             0.17169,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.12851,             0.13687,                   0,            0.010833,            0.034946,           0.0073063,           0.0021166,             0.12938,             0.15978,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.13447,             0.13296,                   0,                0.01,            0.032258,           0.0060597,           0.0015931,             0.13026,             0.14822,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.12972,             0.11431,                   0,              0.0075,            0.024194,           0.0057096,            0.001426,             0.13079,             0.14243,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.12991,             0.14687,                   0,           0.0083333,            0.026882,           0.0061049,           0.0016292,             0.13089,             0.13946,                   0,            0.089171,           0.0011715,           0.0011715
                  13,             0.13343,             0.16303,                   0,           0.0083333,            0.026882,            0.005589,           0.0015939,             0.13051,             0.14025,                   0,            0.088267,           0.0012665,           0.0012665
                  14,             0.12923,             0.10204,                   0,           0.0083333,            0.026882,            0.010855,            0.002027,             0.13023,             0.14166,                   0,            0.087361,           0.0013612,           0.0013612
                  15,             0.12708,             0.12911,                   0,           0.0083333,            0.026882,            0.011086,           0.0018328,             0.13001,             0.14214,                   0,            0.086455,           0.0014555,           0.0014555
                  16,             0.12894,             0.12739,                   0,           0.0058333,            0.018817,           0.0036967,          0.00095578,             0.13045,             0.13876,                   0,            0.085549,           0.0015493,           0.0015493
                  17,              0.1273,             0.11271,                   0,           0.0058333,            0.018817,           0.0036967,          0.00095578,             0.13045,             0.13876,                   0,            0.084643,           0.0016428,           0.0016428
                  18,             0.13455,             0.17271,                   0,               0.008,            0.032258,           0.0097062,           0.0015231,             0.12915,             0.14555,                   0,            0.083736,           0.0017358,           0.0017358
                  19,             0.12929,              0.1543,                   0,               0.008,            0.032258,           0.0097062,           0.0015231,             0.12915,             0.14555,                   0,            0.082829,           0.0018285,           0.0018285
                  20,             0.12929,             0.13598,                   0,           0.0093333,            0.037634,           0.0069153,           0.0014512,             0.12903,             0.14768,                   0,            0.081921,           0.0019208,           0.0019208
                  21,             0.13038,             0.14458,                   0,           0.0093333,            0.037634,           0.0069153,           0.0014512,             0.12903,             0.14768,                   0,            0.081013,           0.0020127,           0.0020127
                  22,             0.12884,             0.16778,                   0,                0.01,            0.040323,           0.0064483,           0.0013651,              0.1287,             0.14962,                   0,            0.080104,           0.0021042,           0.0021042
                  23,               0.127,             0.15431,                   0,                0.01,            0.040323,           0.0064483,           0.0013651,              0.1287,             0.14962,                   0,            0.079195,           0.0021953,           0.0021953
                  24,             0.13132,             0.14971,                   0,           0.0093333,            0.037634,           0.0059954,           0.0010462,             0.12861,             0.15016,                   0,            0.078286,            0.002286,            0.002286
                  25,             0.13042,             0.15226,                   0,           0.0093333,            0.037634,           0.0059954,           0.0010462,             0.12861,             0.15016,                   0,            0.077376,           0.0023762,           0.0023762
                  26,             0.12682,             0.13744,                   0,               0.008,            0.032258,            0.004321,           0.0010914,             0.12871,             0.14926,                   0,            0.076466,           0.0024662,           0.0024662
                  27,             0.12732,             0.12054,                   0,               0.008,            0.032258,            0.004321,           0.0010914,             0.12871,             0.14926,                   0,            0.075556,           0.0025557,           0.0025557
                  28,             0.12483,             0.12363,                   0,           0.0086667,            0.034946,           0.0047329,          0.00095066,             0.12879,             0.14918,                   0,            0.074645,           0.0026448,           0.0026448
                  29,             0.12946,             0.14031,                   0,           0.0086667,            0.034946,           0.0047329,          0.00095066,             0.12879,             0.14918,                   0,            0.073733,           0.0027335,           0.0027335
                  30,             0.11941,              0.1161,                   0,            0.011333,            0.045699,           0.0063461,           0.0015141,             0.12849,             0.15053,                   0,            0.072822,           0.0028218,           0.0028218
                  31,             0.12789,             0.17186,                   0,            0.011333,            0.045699,           0.0063461,           0.0015141,             0.12849,             0.15053,                   0,             0.07191,           0.0029097,           0.0029097
                  32,             0.12433,             0.13714,                   0,            0.013333,            0.053763,           0.0074806,            0.001566,             0.12798,             0.15321,                   0,            0.070997,           0.0029972,           0.0029972
                  33,             0.12368,             0.14935,                   0,            0.013333,            0.053763,           0.0074806,            0.001566,             0.12798,             0.15321,                   0,            0.070084,           0.0030844,           0.0030844
                  34,             0.12395,             0.13841,                   0,               0.016,            0.064516,            0.009241,           0.0018955,             0.12774,              0.1539,                   0,            0.069171,           0.0031711,           0.0031711
                  35,             0.12933,             0.16102,                   0,               0.016,            0.064516,            0.009241,           0.0018955,             0.12774,              0.1539,                   0,            0.068257,           0.0032574,           0.0032574
                  36,             0.12037,             0.11404,                   0,            0.017333,            0.069892,            0.010281,           0.0025194,             0.12705,             0.15708,                   0,            0.067343,           0.0033434,           0.0033434
                  37,             0.11738,            0.094683,                   0,            0.017333,            0.069892,            0.010281,           0.0025194,             0.12705,             0.15708,                   0,            0.066429,           0.0034289,           0.0034289
                  38,             0.12785,             0.14553,                   0,            0.010667,            0.043011,           0.0065529,           0.0014427,             0.12608,              0.1627,                   0,            0.065514,           0.0035141,           0.0035141
                  39,             0.12485,             0.13565,                   0,            0.010667,            0.043011,           0.0065529,           0.0014427,             0.12608,              0.1627,                   0,            0.064599,           0.0035988,           0.0035988
                  40,              0.1218,             0.12124,                   0,            0.010667,            0.043011,           0.0064253,           0.0015777,             0.12577,             0.16516,                   0,            0.063683,           0.0036832,           0.0036832
                  41,             0.12658,             0.19331,                   0,            0.010667,            0.043011,           0.0064253,           0.0015777,             0.12577,             0.16516,                   0,            0.062767,           0.0037672,           0.0037672
                  42,             0.11899,             0.12956,                   0,               0.012,            0.048387,           0.0068189,           0.0016735,             0.12512,             0.16838,                   0,            0.061851,           0.0038507,           0.0038507
                  43,             0.12693,             0.18562,                   0,               0.012,            0.048387,           0.0068189,           0.0016735,             0.12512,             0.16838,                   0,            0.060934,           0.0039339,           0.0039339
                  44,              0.1267,             0.16784,                   0,               0.018,            0.072581,            0.010616,           0.0027365,             0.12425,             0.17103,                   0,            0.060017,           0.0040167,           0.0040167
                  45,             0.12284,             0.14854,                   0,               0.018,            0.072581,            0.010616,           0.0027365,             0.12425,             0.17103,                   0,            0.059099,           0.0040991,           0.0040991
                  46,             0.11913,             0.12538,                   0,            0.018667,            0.075269,            0.011031,           0.0025733,             0.12427,             0.17132,                   0,            0.058181,            0.004181,            0.004181
                  47,             0.12333,             0.16516,                   0,            0.018667,            0.075269,            0.011031,           0.0025733,             0.12427,             0.17132,                   0,            0.057263,           0.0042626,           0.0042626
                  48,             0.12435,             0.16635,                   0,            0.020667,            0.083333,            0.012074,           0.0026444,              0.1239,             0.17234,                   0,            0.056344,           0.0043438,           0.0043438
                  49,                0.12,             0.15861,                   0,            0.020667,            0.083333,            0.012074,           0.0026444,              0.1239,             0.17234,                   0,            0.055425,           0.0044246,           0.0044246
                  50,             0.12648,             0.16639,                   0,               0.018,            0.072581,            0.010294,           0.0028534,             0.12227,             0.18217,                   0,            0.054505,            0.004505,            0.004505
                  51,             0.11803,              0.1449,                   0,               0.018,            0.072581,            0.010294,           0.0028534,             0.12227,             0.18217,                   0,            0.053585,            0.004585,            0.004585
                  52,             0.12517,             0.17298,                   0,               0.018,            0.072581,            0.010294,           0.0028534,             0.12227,             0.18217,                   0,            0.052665,           0.0046646,           0.0046646
                  53,             0.12389,             0.15608,                   0,            0.010667,            0.043011,           0.0057052,           0.0011892,             0.12104,             0.19054,                   0,            0.051744,           0.0047438,           0.0047438
                  54,             0.12297,             0.17065,                   0,            0.010667,            0.043011,           0.0057052,           0.0011892,             0.12104,             0.19054,                   0,            0.050823,           0.0048226,           0.0048226
                  55,              0.1196,             0.14153,                   0,            0.010667,            0.043011,           0.0057052,           0.0011892,             0.12104,             0.19054,                   0,            0.049901,           0.0049011,           0.0049011
                  56,             0.12516,             0.15977,                   0,           0.0073333,             0.02957,           0.0038884,          0.00087192,             0.12056,              0.1937,                   0,            0.048979,           0.0049791,           0.0049791
                  57,             0.12704,             0.13281,                   0,           0.0073333,             0.02957,           0.0038884,          0.00087192,             0.12056,              0.1937,                   0,            0.048057,           0.0050567,           0.0050567
                  58,              0.1283,             0.16258,                   0,           0.0073333,             0.02957,           0.0038884,          0.00087192,             0.12056,              0.1937,                   0,            0.047134,           0.0051339,           0.0051339
                  59,             0.12489,             0.17916,                   0,               0.008,            0.032258,            0.004226,           0.0010413,             0.11981,             0.19679,                   0,            0.046211,           0.0052108,           0.0052108
                  60,             0.12244,             0.14724,                   0,               0.008,            0.032258,            0.004226,           0.0010413,             0.11981,             0.19679,                   0,            0.045287,           0.0052872,           0.0052872
                  61,             0.11901,             0.16204,                   0,               0.008,            0.032258,            0.004226,           0.0010413,             0.11981,             0.19679,                   0,            0.044363,           0.0053632,           0.0053632
                  62,             0.11513,             0.11166,                   0,            0.014667,             0.05914,           0.0078922,           0.0015819,             0.12032,             0.18965,                   0,            0.043439,           0.0054389,           0.0054389
                  63,             0.12867,             0.16273,                   0,            0.014667,             0.05914,           0.0078922,           0.0015819,             0.12032,             0.18965,                   0,            0.042514,           0.0055141,           0.0055141
                  64,              0.1293,             0.17215,                   0,            0.014667,             0.05914,           0.0078922,           0.0015819,             0.12032,             0.18965,                   0,            0.041589,            0.005589,            0.005589
                  65,             0.12355,             0.16279,                   0,            0.015333,            0.061828,           0.0084566,           0.0024819,             0.11882,             0.19187,                   0,            0.040663,           0.0056635,           0.0056635
                  66,             0.10921,             0.13383,                   0,            0.015333,            0.061828,           0.0084566,           0.0024819,             0.11882,             0.19187,                   0,            0.039738,           0.0057375,           0.0057375
                  67,             0.11995,             0.16476,                   0,            0.015333,            0.061828,           0.0084566,           0.0024819,             0.11882,             0.19187,                   0,            0.038811,           0.0058112,           0.0058112
                  68,             0.12294,             0.19319,                   0,            0.019333,            0.077957,             0.01074,           0.0021761,             0.12054,             0.18247,                   0,            0.037884,           0.0058844,           0.0058844
                  69,             0.11901,             0.16494,                   0,            0.019333,            0.077957,             0.01074,           0.0021761,             0.12054,             0.18247,                   0,            0.036957,           0.0059573,           0.0059573
