               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13458,             0.16018,                   0,               0.005,            0.016129,           0.0025545,          0.00042299,              0.1337,             0.15333,                   0,                 0.1,                   0,                   0
                   1,             0.13023,             0.14156,                   0,           0.0044444,            0.010753,            0.002306,          0.00051221,             0.13348,             0.16097,                   0,              0.0991,          9.9802e-05,          9.9802e-05
                   2,              0.1305,             0.10524,                   0,           0.0044444,            0.010753,           0.0023325,          0.00074959,             0.13247,             0.16368,                   0,            0.098199,          0.00019921,          0.00019921
                   3,             0.13189,              0.1426,                   0,           0.0044444,            0.010753,           0.0023571,          0.00075174,             0.13173,             0.16651,                   0,            0.097298,          0.00029822,          0.00029822
                   4,             0.13133,             0.14967,                   0,           0.0055556,            0.013441,           0.0029442,          0.00094129,              0.1309,             0.16897,                   0,            0.096397,          0.00039683,          0.00039683
                   5,             0.13308,             0.13522,                   0,           0.0033333,           0.0080645,           0.0017267,          0.00057615,             0.13145,             0.16696,                   0,            0.095495,          0.00049505,          0.00049505
                   6,             0.13173,             0.13564,                   0,           0.0077778,            0.018817,           0.0040793,          0.00069876,             0.12954,             0.17146,                   0,            0.094593,          0.00059287,          0.00059287
                   7,             0.13081,             0.13879,                   0,           0.0044444,            0.010753,           0.0023323,          0.00041132,             0.12882,             0.17457,                   0,             0.09369,           0.0006903,           0.0006903
                   8,             0.12924,             0.13824,                   0,           0.0091667,             0.02957,           0.0047681,           0.0014562,             0.12775,             0.17731,                   0,            0.092787,          0.00078733,          0.00078733
                   9,             0.12919,             0.13827,                   0,            0.013333,            0.043011,            0.007809,           0.0018175,             0.12644,             0.17998,                   0,            0.091884,          0.00088396,          0.00088396
                  10,             0.13262,             0.14745,                   0,            0.014167,            0.045699,           0.0097084,           0.0023672,             0.12533,             0.17966,                   0,             0.09098,           0.0009802,           0.0009802
                  11,             0.12644,             0.12895,                   0,            0.013333,            0.043011,            0.010362,            0.001879,             0.12574,             0.17351,                   0,            0.090076,            0.001076,            0.001076
                  12,             0.12952,             0.13524,                   0,              0.0125,            0.040323,            0.011992,           0.0032143,             0.12519,             0.17538,                   0,            0.089171,           0.0011715,           0.0011715
